RRID,Name,AKA,Species,Description,MAC Knockins/outs,MIC Knockins/outs,Gene of interest,Origin,Publications,Comments
TSC_SD01822,p115 sKO B-13-1,,T. thermophila,"WT (giw1-?[∆::neo3]; ∆p115, pm-r (neo3)

, II)",KO of GIW1 with neo3,,"p115, GIW1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_01276320\"">TTHERM_01276320</a>)",Kaz Mochizuki (  KM59),"Noto T, Kurth HM, Kataoka K, Aronica L, DeSouza LV, Siu KW, Pearlman RE, Gorovsky MA, Mochizuki K. 2010. The tetrahymena argonaute-binding protein Giw1p directs a mature argonaute-siRNA complex to the nucleus. Cell 140(5):692-703.","Somatic KO of p115, in B2086<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01823,p115 sKO B-18-1,,T. thermophila,"WT (giw1-?[∆::neo3]; ∆p115, pm-r (neo3), II)",KO of GIW1 with neo3,,"p115, GIW1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_01276320\"">TTHERM_01276320</a>)",Kaz Mochizuki (  KM60),"Noto T, Kurth HM, Kataoka K, Aronica L, DeSouza LV, Siu KW, Pearlman RE, Gorovsky MA, Mochizuki K. 2010. The tetrahymena argonaute-binding protein Giw1p directs a mature argonaute-siRNA complex to the nucleus. Cell 140(5):692-703.","Somatic KO of p115, in B2086<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01824,p115 V5 CU427-2,,T. thermophila,"chx1-1/chx1-1 (giw1[3’neo3,V5c]; p115:: p115-V5-neo3, pm-r
V5 tagged GIW1p, VI)",All GIW1 genes replaced by c-terminal V5 tagged version with neo3 in 3’ flanking region,," p115, GIWI (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_01276320\"">TTHERM_01276320</a>)",Kaz Mochizuki   ( KM63),"Noto T, Kurth HM, Kataoka K, Aronica L, DeSouza LV, Siu KW, Pearlman RE, Gorovsky MA, Mochizuki K. 2010. The tetrahymena argonaute-binding protein Giw1p directs a mature argonaute-siRNA complex to the nucleus. Cell 140(5):692-703.","All p115 copy in Mac was replaced with p115-V5-neo3 construct in CU427.<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01825,p115 V5 CU427-7,,T. thermophila,"chx1-1/chx1-1 (giw1[3’neo3,V5c]; p115:: p115-V5-neo3, pm-r
V5 tagged GIW1p, VI)",All GIW1 genes replaced by c-terminal V5tagged version with neo3 in 3’ flanking region,,"p115, GIWI (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_01276320\"">TTHERM_01276320</a>	)",Kaz Mochizuki   ( KM64),"Noto T, Kurth HM, Kataoka K, Aronica L, DeSouza LV, Siu KW, Pearlman RE, Gorovsky MA, Mochizuki K. 2010. The tetrahymena argonaute-binding protein Giw1p directs a mature argonaute-siRNA complex to the nucleus. Cell 140(5):692-703.","All p115 copy in Mac was replaced with p115-V5-neo3 construct in CU427.<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01826,p115 V5 CU428-2,,T. thermophila,"mpr1-1/mpr1-1 (giw1[3’neo3,V5c]; p115:: p115-V5-neo3, pm-r
V5 tagged GIW1p, VII)",All GIW1 genes replaced by c-terminal V5 tagged version with neo3 in 3’ flanking region,,"p115, GIWI (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_01276320\"">TTHERM_01276320</a>	)",Kaz Mochizuki   ( KM65),"Noto T, Kurth HM, Kataoka K, Aronica L, DeSouza LV, Siu KW, Pearlman RE, Gorovsky MA, Mochizuki K. 2010. The tetrahymena argonaute-binding protein Giw1p directs a mature argonaute-siRNA complex to the nucleus. Cell 140(5):692-703.","All p115 copy in Mac was replaced with p115-V5-neo3 construct in CU428.<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01827,p115 V5 CU428-6,,T. thermophila,"mpr1-1/mpr1-1 (giw1[3’neo3,V5c]; p115:: p115-V5-neo3, pm-r
V5 tagged GIW1p, VII)",All GIW1 genes replaced by c-terminal V5 tagged version with neo3 in 3’ flanking region,,"p115, GIWI (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_01276320\"">TTHERM_01276320</a>	)",Kaz Mochizuki   ( KM66),"Noto T, Kurth HM, Kataoka K, Aronica L, DeSouza LV, Siu KW, Pearlman RE, Gorovsky MA, Mochizuki K. 2010. The tetrahymena argonaute-binding protein Giw1p directs a mature argonaute-siRNA complex to the nucleus. Cell 140(5):692-703.","All p115 copy in Mac was replaced with p115-V5-neo3 construct in CU428.<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01828,A438-1,,T. thermophila,"atu1-1[Δ::neo1]/atu1-1[Δ::neo1]; mpr1-1/mpr1-1 or MPR1/MPR1 (atu1-1[Δ::neo1]/atu1[E438A]; pm-r, mp-?)",ATU1 with E438A or neo replacing coding of some ATU1 genes,neo replaces ATU1 coding,"ATU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00558620\"">TTHERM_00558620</a>)",Bing Hai,"Hai B and Gorovsky MA. 1997. Germ-line knockout heterokaryons of an essential alpha-tubulin gene enable high-frequency gene replacement and a test of gene transfer from somatic to germ-line nuclei in tetrahymena thermophila. Proc Natl Acad Sci U S A 94(4):1310-5.

Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.","It is a progeny of conjugants of AAK02.7XAAKO5.5 transformed with pTUB100E3-PvuII (linearized). Its mac ATU1 gene is marked with Hae III and Pvu II sites and has E438A<br /><br />From the Gorovsky lab, University of Rochester."
TSC_SD01829,A443-1,,T. thermophila,atu1-1[Δ::neo1]/atu1-1[Δ::neo1]; mpr1-1/mpr1-1 or MPR1/MPR1 (atu1-1[Δ::neo1]/atu1[E443A]; mp-?),ATU1 with E443A or neo replacing coding of some ATU1 genes,neo replaces ATU1 coding,"ATU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00558620\"">TTHERM_00558620</a>)",Bing Hai,"Hai B and Gorovsky MA. 1997. Germ-line knockout heterokaryons of an essential alpha-tubulin gene enable high-frequency gene replacement and a test of gene transfer from somatic to germ-line nuclei in tetrahymena thermophila. Proc Natl Acad Sci U S A 94(4):1310-5.

Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.","It is a progeny of conjugants of AAK02.7 X AAKO5.5 transformed with pA443 derived from pTUB100E3-PvuII (linearized) where the ATU1 gene is marked with Hae III and Pvu II sites and E443A.<br /><br />The strain was supposed to be pm-r, but the thawed line is pm-s.<br /><br />From the Gorovsky lab, University of Rochester."
TSC_SD01830,A445-1,,T. thermophila,atu1-1[Δ::neo1]/atu1-1[Δ::neo1]; mpr1-1/mpr1-1 or MPR1/MPR1 (atu1-1[Δ::neo1]/atu1[E445A]; mp-?),ATU1 with E445A or neo replacing coding of some ATU1 genes,neo replaces ATU1 coding,"ATU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00558620\"">TTHERM_00558620</a>)",Bing Hai,"Hai B and Gorovsky MA. 1997. Germ-line knockout heterokaryons of an essential alpha-tubulin gene enable high-frequency gene replacement and a test of gene transfer from somatic to germ-line nuclei in tetrahymena thermophila. Proc Natl Acad Sci U S A 94(4):1310-5.

Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.","It is a progeny of conjugants of AAK02.7 X AAKO5.5 transformed with pA445 derived from pTUB100E3-PvuII (linearized) where the ATU1 gene is marked with Hae III and Pvu II sites and E445A.<br /><br />The strain was supposed to be pm-r, but the thawed line is pm-s.<br /><br />From the Gorovsky lab, University of Rochester. "
TSC_SD01831,A447-1,,T. thermophila,"atu1-1[Δ::neo1]/atu1-1[Δ::neo1]; mpr1-1/mpr1-1 or MPR1/MPR1 (atu1-1[Δ::neo1]/atu1[E447A]; pm-r, mp-?)",ATU1 with E447A or neo replacing coding of some ATU1 genes,neo replaces ATU1 coding,"ATU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00558620\"">TTHERM_00558620</a>)",Bing Hai,"Hai B and Gorovsky MA. 1997. Germ-line knockout heterokaryons of an essential alpha-tubulin gene enable high-frequency gene replacement and a test of gene transfer from somatic to germ-line nuclei in tetrahymena thermophila. Proc Natl Acad Sci U S A 94(4):1310-5.

Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.","It is a progeny of conjugants of AAK02.7 X AAKO5.5 transformed with pA447 derived from pTUB100E3-PvuII (linearized) where the ATU1 gene is marked with Hae III and Pvu II sites and E447A.<br /><br />From the Gorovsky lab, University of Rochester."
TSC_SD01832,A5A7-1,,T. thermophila,"atu1-1[Δ::neo1]/atu1-1[Δ::neo1]; mpr1-1/mpr1-1 or MPR1/MPR1 (atu1-1[Δ::neo1]/atu1[E445A,E447A]; ATU1 with E445A,E447A or neo replacing coding of some ATU1 genes, pm-r, cy-s,mp-?

)","ATU1 with E445A,E447A and neo replacing coding of some ATU1 genes",neo replaces ATU1 coding,"ATU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00558620\"">TTHERM_00558620</a>)",Bing Hai,"Hai B and Gorovsky MA. 1997. Germ-line knockout heterokaryons of an essential alpha-tubulin gene enable high-frequency gene replacement and a test of gene transfer from somatic to germ-line nuclei in tetrahymena thermophila. Proc Natl Acad Sci U S A 94(4):1310-5.

Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.","It is a progeny of conjugants of AAK02.7XAAKO5.5 transformed with pA5A7 derived from pTUB100E3-PvuII (linearized)where the ATU1 gene is marked with Hae III and Pvu II sites and E445A,E447A<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01833,AAA1D9,,T. thermophila,"btu1-?[∆::neo1]/ btu1-?[∆::neo1]; btu2-?[∆::bsr1]/ btu2-?[∆::bsr1]; CHX1/CHX1; mpr1-1/mpr1-1 or MPR1/MPR1 (btu2-?[∆::bsr1]; btu1-?[∆::neo1]/ btu1-?[E431D,E432D,E433D,E435D,E437D,E438D,E439D,E440D,E442D]; ATU1/atu1-1[duplicate ATU1 tail--AAA1]; pm-r, Original BTU2 is replaced by bsr1, BTU1 coding replaced by neo1, then transformed with BTU1 with (E431-442D) and Chimeric ATU1 gene, AAA1 (duplicate ATU C-tail))","BTU2 replaced by bsr. BTU1 partially replaced by neo1, some replaced by BTU1-D9 with (E431-442D). Some ATU1 replaced by ATU1 with duplicate C-tail","knockout of btu1 with neo
knockout of btu2 with bsr","BTU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00348510\"">TTHERM_00348510</a>), BTU2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00836580\"">TTHERM_00836580</a>), ATU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00558620\"">TTHERM_00558620</a>)",Jianming Duan,"Duan J and Gorovsky MA. 2002. Both carboxy-terminal tails of alpha- and beta-tubulin are essential, but either one will suffice. Curr Biol 12(4):313-6.

Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.

Thazhath R, Jerka-Dziadosz M, Duan J, Wloga D, Gorovsky MA, Frankel J, Gaertig J. 2004. Cell context-specific effects of the beta-tubulin glycylation domain on assembly and size of microtubular organelles. Mol Biol Cell 15(9):4136-47.","Progeny of DB6B x DB2A, co- transformed by constructs BTU1-D9 with (E431-442D) and construct of chimeric ATU1 gene, AAA1, duplicate ATU C-tail). See publications<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01834,AAA2D9,,T. thermophila,"btu1-?[∆::neo1]/ btu1-?[∆::neo1]; btu2-?[∆::bsr1]/ btu2-?[∆::bsr1]; CHX1/CHX1; mpr1-1/mpr1-1 or MPR1/MPR1 (btu2-?[∆::bsr1]; btu1-?[∆::neo1]/ btu1-?[E431D,E432D,E433D,E435D,E437D,E438D,E439D,E440D,E442D]; ATU1/atu1-1[duplicate ATU1 tail--AAA2]; pm-r, Original BTU2 is replaced by bsr1, BTU1 coding replaced by neo1, then transformed with BTU1 with (E431-442D) and Chimeric ATU1 gene, AAA2 (duplicate ATU C-tail))","BTU2 replaced by bsr. BTU1 partially replaced by neo1, some replaced by BTU1-D9 with (E431-442D). Some ATU1 replaced by ATU1 with duplicate C-tail","knockout of btu1 with neo
knockout of btu2 with bsr","BTU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00348510\"">TTHERM_00348510</a>), BTU2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00836580\"">TTHERM_00836580</a>), ATU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00558620\"">TTHERM_00558620</a>)",Jianming Duan,"Duan J and Gorovsky MA. 2002. Both carboxy-terminal tails of alpha- and beta-tubulin are essential, but either one will suffice. Curr Biol 12(4):313-6.

Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.

Thazhath R, Jerka-Dziadosz M, Duan J, Wloga D, Gorovsky MA, Frankel J, Gaertig J. 2004. Cell context-specific effects of the beta-tubulin glycylation domain on assembly and size of microtubular organelles. Mol Biol Cell 15(9):4136-47.","Progeny of DB6B x DB2A, co- transformed by constructs BTU1-D9 with (E431-442D) and construct of chimeric ATU1 gene, AAA2 duplicate ATU C-tail). See publications<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01836,ATU-4A,,T. thermophila,"atu1-1[Δ::neo1]/atu1-1[Δ::neo1]; mpr1-1/mpr1-1 or MPR1/MPR1 (atu1-1[Δ::neo1]/atu1[E443A,E445A, E446A,E447A]; ATU1 with E443A,E445A,E446A,E447A or neo replacing coding of some ATU1 genes, pm-r, cy-s,mp-?

)","ATU1 withE443A, E445A,E446A,E447A and neo replacing coding of some ATU1 genes",neo replaces ATU1 coding,"ATU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00558620\"">TTHERM_00558620</a>)",Jianming Duan,"Hai B and Gorovsky MA. 1997. Germ-line knockout heterokaryons of an essential alpha-tubulin gene enable high-frequency gene replacement and a test of gene transfer from somatic to germ-line nuclei in tetrahymena thermophila. Proc Natl Acad Sci U S A 94(4):1310-5.

Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.","It is a progeny of conjugants of AAK02.7XAAKO5.5 transformed with pATU-4A derived from pTUB100E3-PvuII (linearized)where the ATU1 gene is marked with Hae III and Pvu II sites and E443A, E445A,E446A,E447A<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01837,ATU-4D,,T. thermophila,"atu1-1[Δ::neo1]/atu1-1[Δ::neo1]; mpr1-1/mpr1-1 or MPR1/MPR1 (atu1-1[Δ::neo1]/atu1[E443D,E445D E446D,E447D]; ATU1 with E443D, E445D,E446D,E447D or neo replacing coding of some ATU1 genes, pm-r, cy-s,mp-?

)","ATU1 with E443D, E445D,E446D,E447D or neo replacing coding of some ATU1 genes",neo replaces ATU1 coding,"ATU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00558620\"">TTHERM_00558620</a>)",Jianming Duan,"Hai B and Gorovsky MA. 1997. Germ-line knockout heterokaryons of an essential alpha-tubulin gene enable high-frequency gene replacement and a test of gene transfer from somatic to germ-line nuclei in tetrahymena thermophila. Proc Natl Acad Sci U S A 94(4):1310-5.

Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.","It is a progeny of conjugants of AAK02.7XAAKO5.5 transformed with pATU-4D derived from pTUB100E3-PvuII (linearized)where the ATU1 gene is marked with Hae III and Pvu II sites and E443D, E445D,E446D,E447D<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01838,ATU-6D,,T. thermophila,"atu1-1[Δ::neo1]/atu1-1[Δ::neo1]; mpr1-1/mpr1-1 or MPR1/MPR1 (atu1-1[Δ::neo1]/atu1[ E438D, E441D, E443D, E445D,E446D,E447D ]; ATU1 with E438D, E441D, E443D, E445D,E446D,E447D or neo replacing coding of some ATU1 genes, pm-r, cy-s,mp-?

Slow growth
)","ATU1 with E438D, E441D, E443D, E445D,E446D,E447D or neo replacing coding of some ATU1 genes",neo replaces ATU1 coding,"ATU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00558620\"">TTHERM_00558620</a>)",Jianming Duan,"Hai B and Gorovsky MA. 1997. Germ-line knockout heterokaryons of an essential alpha-tubulin gene enable high-frequency gene replacement and a test of gene transfer from somatic to germ-line nuclei in tetrahymena thermophila. Proc Natl Acad Sci U S A 94(4):1310-5.

Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.","It is a progeny of conjugants of AAK02.7XAAKO5.5 transformed with pATU-6D derived from pTUB100E3-PvuII (linearized)where the ATU1 gene is marked with Hae III and Pvu II sites and E438D, E441D, E443D, E445D,E446D,E447D<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01839,B1KO-1,,T. thermophila,"BTU1/btu1[∆,::H4-neo]; MPR1-1/mpr1-1 ",,"H4-neo replaces coding of BTU1, heterozygous ","BTU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00348510\"">TTHERM_00348510</a>)",Bing Hai,"Hai B and Gorovsky MA. 1997. Germ-line knockout heterokaryons of an essential alpha-tubulin gene enable high-frequency gene replacement and a test of gene transfer from somatic to germ-line nuclei in tetrahymena thermophila. Proc Natl Acad Sci U S A 94(4):1310-5.

Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.","Germline transformant (heterozygote). Transformed with BHAB-1 (BTU1 knockout construct)<br /><br />Mates with B1KO-2<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01840,B1KO-2,,T. thermophila,"BTU1/btu1[∆,::H4-neo]; MPR1-1/mpr1-1 ",,"H4-neo replaces coding of BTU1, heterozygous ","BTU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00348510\"">TTHERM_00348510</a>)",Bing Hai,"Hai B and Gorovsky MA. 1997. Germ-line knockout heterokaryons of an essential alpha-tubulin gene enable high-frequency gene replacement and a test of gene transfer from somatic to germ-line nuclei in tetrahymena thermophila. Proc Natl Acad Sci U S A 94(4):1310-5.

Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.","Germline transformant (heterozygote). Transformed with BHAB-1 (BTU1 knockout construct)<br /><br />Mates with B1KO-1<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01841,"BTU1-E431,432,435D",,T. thermophila,"btu1-?[∆::neo1]/ btu1-?[∆::neo1]; btu2-?[∆::bsr1]/ btu2-?[∆::bsr1]; CHX1/CHX1; mpr1-1/mpr1-1 or MPR1/MPR1 (btu2-?[∆::bsr1]; btu1-?[∆::neo1]/ btu1-? [E431D,E432D,E435D])","BTU1 has only (E431,432,435D) no WT
BTU2 is KO","knockout of btu1 with neo
knockout of btu2 with bsr","BTU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00348510\"">TTHERM_00348510</a>), BTU2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00836580\"">TTHERM_00836580</a>)",Jianming Duan,"Thazhath R, Jerka-Dziadosz M, Duan J, Wloga D, Gorovsky MA, Frankel J, Gaertig J. 2004. Cell context-specific effects of the beta-tubulin glycylation domain on assembly and size of microtubular organelles. Mol Biol Cell 15(9):4136-47.

Duan J and Gorovsky MA. 2002. Both carboxy-terminal tails of alpha- and beta-tubulin are essential, but either one will suffice. Curr Biol 12(4):313-6.
","Progeny of DB6B x DB2A, transformed by BTU1-1235D mutation construct (E431,432, 435D).<br /><br />The strain was supposed to be pm-r, but the thawed line is pm-s.<br /><br />From the Gorovsky lab, University of Rochester."
TSC_SD01842,"BTU1-E431,435D",,T. thermophila,"btu1-?[∆::neo1]/ btu1-?[∆::neo1]; btu2-?[∆::bsr1]/ btu2-?[∆::bsr1]; CHX1/CHX1; mpr1-1/mpr1-1 or MPR1/MPR1 (btu2-?[∆::bsr1]; btu1-?[∆::neo1]/ btu1-? [E431D,E435D]; pm-r, BTUI has(E431,435D), BTU2 is replaced by bsr1)","BTU1 has only (E431,435D) no WT
BTU2 is KO","knockout of btu1 with neo
knockout of btu2 with bsr","BTU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00348510\"">TTHERM_00348510</a>), BTU2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00836580\"">TTHERM_00836580</a>)",Jianming Duan,"Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.

Duan J and Gorovsky MA. 2002. Both carboxy-terminal tails of alpha- and beta-tubulin are essential, but either one will suffice. Curr Biol 12(4):313-6.","Progeny of DB6B x DB2A, transformed by BTU1-1235D mutation construct (E431,435D)<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01843,"BTU1-E432,435D",,T. thermophila,"btu1-?[∆::neo1]/ btu1-?[∆::neo1]; btu2-?[∆::bsr1]/ btu2-?[∆::bsr1]; CHX1/CHX1; mpr1-1/mpr1-1 or MPR1/MPR1 (btu2-?[∆::bsr1]; btu1-?[∆::neo1]/ btu1-? [E432D,E435D]; pm-r, BTUI has(E432,435D), BTU2 is replaced by bsr1)","BTU1 has only (E432,435D) no WT;
BTU2 is KO","knockout of btu1 with neo
knockout of btu2 with bsr","BTU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00348510\"">TTHERM_00348510</a>), BTU2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00836580\"">TTHERM_00836580</a>)",Jianming Duan,"Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.

Duan J and Gorovsky MA. 2002. Both carboxy-terminal tails of alpha- and beta-tubulin are essential, but either one will suffice. Curr Biol 12(4):313-6.","Progeny of DB6B x DB2A, transformed by BTU1-1235D mutation construct (E432,435D)<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01844,BTU1-E435D,,T. thermophila,"btu1-?[∆::neo1]/ btu1-?[∆::neo1]; btu2-?[∆::bsr1]/ btu2-?[∆::bsr1]; CHX1/CHX1; mpr1-1/mpr1-1 or MPR1/MPR1 (btu2-?[∆::bsr1]; btu1-?[∆::neo1]/ btu1-? [E435D]; pm-r, BTUI has(E435D), BTU2 is replaced by bsr1)","BTU1 has only (E435D) no WT;
BTU2 is KO","knockout of btu1 with neo
knockout of btu2 with bsr","BTU1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00348510\"">TTHERM_00348510</a>), BTU2 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00836580\"">TTHERM_00836580</a>)",Jianming Duan,"Xia L, Hai B, Gao Y, Burnette D, Thazhath R, Duan J, Bre MH, Levilliers N, Gorovsky MA, Gaertig J. 2000. Polyglycylation of tubulin is essential and affects cell motility and division in tetrahymena thermophila. J Cell Biol 149(5):1097-6.

Duan J and Gorovsky MA. 2002. Both carboxy-terminal tails of alpha- and beta-tubulin are essential, but either one will suffice. Curr Biol 12(4):313-6.","Progeny of DB6B x DB2A, transformed by BTU1-1235D mutation construct (E435D)<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01845,∆CnjB #1,,T. thermophila,"CnjB/cnjB[∆?::neo3] (cnjB[∆?::neo3]
CnjB:neo3, fully assorted; pm-r)","Part of CnjB coding replaced with neo3, completely assorted",Part of CnjB coding replaced with neo3,"cnjB (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_01091290\"">TTHERM_01091290</a>)",Janna Bednenko,"Bednenko J, Noto T, DeSouza LV, Siu KW, Pearlman RE, Mochizuki K, Gorovsky MA. 2009. Two GW repeat proteins interact with tetrahymena thermophila argonaute and promote genome rearrangement. Mol Cell Biol 29(18):5020-30.","somatic knock-outs of CnjB obtained by mating heterozygous CnjB KO heterokaryon with WT then assorted to complete KO in mac; mate with ∆CnjB #3<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
TSC_SD01846,∆CnjB #3,,T. thermophila,"CnjB/cnjB[∆?::neo3] (cnjB[∆?::neo3]
CnjB:neo3, fully assorted; pm-r)","Part of CnjB coding replaced with neo3, completely assorted",Part of CnjB coding replaced with neo3,"cnjB (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_01091290\"">TTHERM_01091290</a>)",Janna Bednenko,"Bednenko J, Noto T, DeSouza LV, Siu KW, Pearlman RE, Mochizuki K, Gorovsky MA. 2009. Two GW repeat proteins interact with tetrahymena thermophila argonaute and promote genome rearrangement. Mol Cell Biol 29(18):5020-30.","somatic knock-outs of CnjB obtained by mating heterozygous CnjB KO heterokaryon with WT then assorted to complete KO in mac; mate with ∆CnjB #1 and ∆CnjB #6<br /><br />From the Gorovsky lab, University of Rochester. This strain has been cataloged by the Stock Center but not thawed."
